Date,Description,Debit,Credit,Balance
01/10/2024,Opening Balance,,,50000.00
02/10/2024,UPI-SWIGGY-202410021234,450.50,,49549.50
03/10/2024,NEFT-SALARY-OCT2024,,75000.00,124549.50
05/10/2024,ATM WITHDRAWAL HDFC,5000.00,,119549.50
07/10/2024,UPI-AMAZON-202410071122,2340.00,,117209.50
08/10/2024,DEBIT CARD-DMART SUPERMARKET,3567.80,,113641.70
10/10/2024,EMI-HOME LOAN-HDFC,25000.00,,88641.70
12/10/2024,UPI-GOOGLE PAY-ELECTRICITY BILL,1890.00,,86751.70
14/10/2024,UPI-PHONEPE-JIO RECHARGE,599.00,,86152.70
15/10/2024,DEBIT CARD-APOLLO PHARMACY,856.50,,85296.20
18/10/2024,UPI-ZOMATO-202410181445,680.00,,84616.20
20/10/2024,NEFT-RENT TRANSFER,15000.00,,69616.20
22/10/2024,UPI-PAYTM-METRO CARD RECHARGE,500.00,,69116.20
25/10/2024,DEBIT CARD-BIG BAZAAR,4234.90,,64881.30
26/10/2024,UPI-NETFLIX SUBSCRIPTION,649.00,,64232.30
28/10/2024,IMPS-MUTUAL FUND SIP,5000.00,,59232.30
29/10/2024,UPI-OLA CABS,234.00,,58998.30
30/10/2024,DEBIT CARD-RELIANCE FRESH,1245.60,,57752.70
